"";"top_2_cb";"socialist_left";"socialist_left_sig";"soc_dem";"soc_dem_sig";"agrarian";"agrarian_sig";"liberal";"liberal_sig";"christian";"christian_sig";"conservative";"conservative_sig";"progress";"progress_sig";"green";"green_sig";"other";"other_sig";"sum";"n";"mean_left_right"
"1";"iE";28;3;33;0;12;0;3;0;2;0;4;3;4;0;11;3;2;0;100;93;0,35
"2";"Ei";32;3;24;0;16;0;3;0;3;0;3;2;3;0;8;0;8;0;100;37;0,36
"3";"iF";11;0;27;0;18;0;7;0;9;0;7;1;2;0;7;0;11;0;100;44;0,38
"4";"ih";26;3;23;0;13;0;11;2;5;0;7;3;0;1;8;2;6;0;100;108;0,39
"5";"If";20;3;36;1;13;0;9;0;7;0;4;3;2;0;5;0;5;0;100;101;0,39
"6";"hE";11;0;34;0;8;1;11;1;2;0;11;1;2;0;7;0;13;1;100;61;0,41
"7";"Ef";12;0;34;0;15;0;5;0;5;0;15;0;0;0;10;1;5;0;100;41;0,41
"8";"Fi";16;0;45;1;13;0;3;0;6;0;13;0;3;0;0;0;0;0;100;31;0,43
"9";"hi";20;3;24;0;12;0;12;2;5;0;11;2;1;0;7;1;7;0;100;94;0,44
"10";"EH";22;3;33;0;17;0;0;0;9;0;7;1;2;0;2;0;7;0;100;54;0,44
"11";"fE";17;0;39;0;14;0;11;0;3;0;0;2;3;0;6;0;8;0;100;36;0,45
"12";"E";9;0;41;0;22;0;0;0;3;0;6;1;9;0;3;0;6;0;100;32;0,45
"13";"Eh";17;0;37;0;10;0;7;0;0;0;3;1;7;0;10;0;10;0;100;30;0,45
"14";"fi";14;0;32;0;14;0;4;0;14;1;10;1;2;0;8;0;2;0;100;50;0,47
"15";"i";12;0;33;0;14;0;5;0;10;0;12;0;2;0;5;0;7;0;100;42;0,47
"16";"hF";15;0;10;0;20;0;5;0;5;0;20;0;0;0;5;0;20;2;100;20;0,47
"17";"FE";8;0;41;2;15;0;3;0;5;0;7;3;6;0;3;0;12;1;100;86;0,48
"18";"EF";6;0;34;0;22;0;8;0;2;0;12;0;6;0;6;0;4;0;100;50;0,48
"19";"ie";4;0;26;0;17;0;7;0;9;0;24;0;2;0;4;0;7;0;100;46;0,49
"20";"H";10;0;30;0;13;0;5;0;18;2;18;0;3;0;0;0;5;0;100;40;0,49
"21";"Hi";8;0;20;0;20;0;8;0;16;1;16;0;4;0;0;0;8;0;100;25;0,5
"22";"HE";6;0;36;1;22;0;1;0;7;0;13;1;5;0;2;0;8;0;100;86;0,51
"23";"hf";17;1;24;0;11;0;14;3;3;0;21;0;3;0;2;0;3;0;100;90;0,52
"24";"fh";12;0;32;0;12;0;9;0;8;0;15;0;0;0;9;1;3;0;100;66;0,52
"25";"EI";6;0;29;0;16;0;2;0;8;0;16;0;6;0;6;0;10;0;100;49;0,52
"26";"iH";8;0;33;0;22;0;6;0;14;1;3;2;3;0;0;0;11;0;100;36;0,52
"27";"FH";4;0;34;1;23;0;4;0;3;0;13;1;12;3;1;0;5;0;100;115;0,53
"28";"hI";10;0;21;0;2;2;7;0;2;0;33;0;12;1;2;0;10;0;100;42;0,53
"29";"IF";12;0;18;0;18;0;3;0;9;0;18;0;9;0;0;0;12;0;100;33;0,53
"30";"h";0;0;38;0;17;0;10;0;3;0;10;0;7;0;7;0;7;0;100;29;0,54
"31";"Fh";10;0;19;0;19;0;5;0;10;0;19;0;10;0;5;0;5;0;100;21;0,54
"32";"Fe";4;0;29;0;32;1;4;0;4;0;14;0;7;0;0;0;7;0;100;28;0,55
"33";"IH";2;1;23;0;28;1;2;0;3;0;28;0;10;0;2;0;3;0;100;61;0,56
"34";"av";3;0;29;0;24;0;3;0;8;0;21;0;0;0;8;0;5;0;100;38;0,56
"35";"fH";3;0;33;0;28;0;0;0;6;0;22;0;0;0;0;0;8;0;100;36;0,56
"36";"ei";0;0;22;0;28;0;3;0;6;0;25;0;0;0;3;0;14;1;100;36;0,56
"37";"I";7;0;24;0;17;0;7;0;2;0;22;0;17;3;0;0;2;0;100;41;0,57
"38";"IE";10;0;29;0;13;0;3;0;3;0;26;0;13;1;3;0;0;0;100;31;0,57
"39";"HF";2;1;30;0;24;0;2;0;10;0;21;0;10;0;0;0;3;0;100;63;0,58
"40";"he";10;0;25;0;17;0;8;0;0;0;27;0;5;0;2;0;5;0;100;59;0,58
"41";"FI";2;1;31;0;17;0;3;0;7;0;17;0;12;2;3;0;7;0;100;58;0,58
"42";"F";5;0;26;0;16;0;5;0;7;0;26;0;7;0;2;0;7;0;100;43;0,58
"43";"f";2;0;22;0;27;0;2;0;7;0;22;0;5;0;7;0;5;0;100;41;0,59
"44";"He";6;0;24;0;24;0;0;0;6;0;38;1;0;0;0;0;3;0;100;34;0,59
"45";"HI";5;0;24;0;23;0;2;0;10;0;22;0;9;0;0;0;6;0;100;93;0,6
"46";"fe";4;0;12;2;20;0;7;0;5;0;45;3;1;0;0;0;5;0;100;75;0,6
"47";"Ie";7;0;22;0;24;0;4;0;7;0;27;0;4;0;0;0;4;0;100;45;0,6
"48";"Hf";3;0;20;0;15;0;5;0;5;0;35;1;8;0;3;0;8;0;100;40;0,61
"49";"eh";3;0;17;0;12;0;4;0;2;0;51;3;2;0;3;0;4;0;100;89;0,64
"50";"e";2;0;16;0;21;0;2;0;5;0;35;1;7;0;2;0;9;0;100;43;0,64
"51";"Ih";0;0;43;0;29;0;0;0;0;0;14;0;0;0;0;0;14;0;100;7;0,64
"52";"If";3;0;10;1;33;1;5;0;3;0;38;1;8;0;0;0;3;0;100;40;0,66
"53";"fI";4;0;8;2;21;0;6;0;9;0;40;2;2;0;9;1;2;0;100;53;0,67
"54";"ef";1;3;10;3;24;0;4;0;4;0;49;3;3;0;1;0;4;0;100;134;0,68
"55";"eH";0;1;17;0;21;0;4;0;8;0;33;1;13;1;0;0;4;0;100;48;0,68
"56";"eI";2;2;7;3;17;0;8;0;2;0;54;3;4;0;1;0;6;0;100;127;0,72
"57";"eF";7;0;7;1;24;0;0;0;3;0;48;3;7;0;0;0;3;0;100;29;0,72
